idAsset,name,initials,institutionName,institutionInitials,city,state,hasSharing,about
26592,Banco Ativo de Germoplasma de Soja,BAG Soja,Centro Nacional de Pesquisa de Soja,Embrapa Soja,Londrina,PR,False,"O BAG Soja abriga uma das maiores colecoes de germoplasma do mundo, sendo o maior em variabailidade genética, contendo germoplasma temperado e tropical, e tem com objetivo de conservar recursos genéticos de soja, além da caracterização e intercambio. A estrutura é constituida pelo laboratório, sala de trilha, casas de vegetacao e câmara fria com controle de temperatura e umidade (5º C e 21%). Tem capacidade para abrigar até 190 mil amostras de sementes, e possui hoje 65 mil acessos de soja."
25572,Banco Ativo de Germoplasma de Trigo,BAG Trigo,Empresa Brasileira de Pesquisa Agropecuária,EMBRAPA,Passo Fundo,RS,False,"O Banco Ativo de Germoplasma de Trigo (BAG Trigo) localizado na Embrapa Trigo, Passo Fundo, RS, foi fundado em 1978, e desde então se preocupa com a melhoria da conservação bem como a biodiversidade do trigo e espécies correlatas. Atualmente a Embrapa Trigo possui BAGs das seguintes espécies: Trigo, Triticale, Cevada, Centeio e Aveia. A maior coleção, porém, é a de Trigo, com cerca de 14.000 acessos."
23276,Banco de Células do Rio de Janeiro,BCRJ,ASSOCIAÇÃO TÉCNICO CIENTÍFICA PAUL EHRLICH - APABCAM,APABCAM,Duque de Caxias,RJ,False,"O Banco Células do Rio de Janeiro (BCRJ) é o resultado do trabalho conjunto de cientistas, técnicos e estudantes da Universidade Federal do Rio de Janeiro e da Associação Técnico-Científica Paul Ehrlich. Criado em 1980, por iniciativa do Professor Radovan Borojevic, o BCRJ tornou-se centro de referência e excelência em cultura de células no Brasil e no nosso continente. É a única coleção de células humanas e animais que atua como prestadora de serviços no Brasil e é a maior da América do Sul."
28592,Banco de Extratos Vegetais do Laboratório de Prospecção de Compostos Bioativos,LPCB,Empresa Brasileira de Pesquisa Agropecuária,EMBRAPA,Brasília,DF,False,"O Banco de Extratos Vegetais do Laboratório de Prospecção de Compostos Bioativos é parte do LPCB (Laboratório de Prospecção de Compostos Bioativos) da Embrapa Recursos Genéticos e Biotecnologia que desenvolve projetos de vanguarda com foco em soluções sustentáveis para o controle de pragas agrícolas. No LPCB, mergulhamos nas riquezas da natureza, prospectando extratos, frações e compostos biocidas derivados de plantas e cogumelos dos bancos de germoplasma da EMBRAPA e co-produtos industriais."
41918,Banco de Germoplasma de Phaseolus,BGP,Universidade Federal do Piauí,UFPI,Teresina,PI,False,Banco de sementes vinculado aos Laboratórios de Sementes e de Recursos Genéticos da UFPI dedicado à amostragem e conservação de sementes de variedades de Phaseolus.
14184,Banco de Testes com Simulação de Altitude,BTSA,Instituto Nacional de Pesquisas Espaciais,INPE,Cachoeira Paulista,SP,False,"O BTSA atende ao Programa Espacial Brasileiro, atuando no desenvolvimento e qualificação de propulsores espaciais (propulsores monopropelentes até 150N de empuxo e bipropelentes até 200N). Os testes podem ser realizados em modo contínuo ou pulsado.
Os propelentes que podem ser utilizados no BTSA são: hidrazina anidra em sistemas monopropelentes; monometil hidrazina como combustível e tetróxido de nitrogênio como oxidante em sistemas bipropelentes."
10726,Banco Genético da Embrapa,BGE,Empresa Brasileira de Pesquisa Agropecuária,EMBRAPA,Brasilia,DF,True,"O BGE abriga um conjunto de laboratórios com objetivo de conservar recursos genéticos animais, vegetais e de microrganismos. A estrutura é constituida pelos laboratórios de sementes,. criopreservação e conservação in vitro. O BGE tem capacidade para abrigar até 750 mil amostras de sementes, dez mil vegetais in vitro, além das coleções mantidas a - 180º C em nitrogênio líquido, método conhecido como criopreservação, que manterá mais de 200 mil amostras vegetais, animais ou de microrganismos."
27605,Bancos Ativos de Germoplasma de Forrageiras de Importância para o sul do Brasil,BAG FORSUL,Embrapa Pecuária Sul,CPPSul,Bagé,RS,False,"Os Bancos Ativos de Germoplasma (BAGs) são importantes repositórios para a conservação e uso de espécies nativas da Região Sul, e/ou de espécies bem adaptadas ao clima desta região do Brasil. O BAG de Gramíneas Forrageiras está inserido no Bioma Pampa, que é constituído, em grande parte, por campos naturais, onde são encontradas várias espécies nativas com grande potencial forrageiro. O BAG de Leguminosas Forrageiras do Sul possibilita a conservação da variabilidade genética de leguminosas."
27493,"Bancos ativos de germoplasma de Milho, Sorgo e Milheto","BAG Milho,Sorgo,Milh",Centro Nacional de Pesquisa de Milho e Sorgo,CNPMS,Sete Lagoas,MG,False,"Infraestrutura de conservação, caracterização e intercâmbio de recursos genéticos de milho, sorgo e milheto, preservando cerca 12.000 acessos no total, o que torna esses bancos de germoplasma de grande importância para a preservação da agrobiodiversidade, pesquisas e desenvolvimento de produtos com base nesses cereais."
27472,Bancos Ativos de Germoplasma Vegetal da Embrapa Meio-Norte,BAG-VEG_CPAMN,Centro de Pesquisa Agropecuária do Meio-Norte ,CPAMN,Teresina,PI,True,"A Embrapa Meio-Norte, unidade ecorregional, apresenta diversas ações de pesquisas ligadas a recursos genéticos vegetais, especialmente, focadas nas questões regionais. São conservados acessos de feijão-caupi, feijão-mungo e outras espécies do gênero Vigna; além de fruteiras nativas, babaçu e forrageiras nativas de porte arbóreo. O BAG Feijão-caupi, por exemplo, mantém mais de 4.000 acessos, os quais proporcionaram o desenvolvimento de mais de 30 cultivares comerciais."
